name,country,source,rname
Korea University,,sh,Korea University
KTH Royal Institute of Technology,,sh,KTH Royal Institute of Technology
Kyushu University,,sh,Kyushu University
Linkoping University,,sh,Linkoping University
London School of Hygiene & Tropical Medicine,,sh,London School of Hygiene & Tropical Medicine
Maastricht University,,sh,Maastricht University
Medical University of South Carolina,,sh,Medical University of South Carolina
Medical University of Vienna,,sh,Medical University of Vienna
Nanjing University,,sh,Nanjing University
National Autonomous University of Mexico,,sh,National Autonomous University of Mexico
Newcastle University,,sh,Newcastle University
North Carolina State University - Raleigh,,sh,North Carolina State University - Raleigh
Northeastern University (Boston),,sh,Northeastern University (Boston)
Oregon Health and Science University,,sh,Oregon Health and Science University
Paul Sabatier University (Toulouse 3),,sh,Paul Sabatier University (Toulouse 3)
Polytechnic Institute of Milan,,sh,Polytechnic Institute of Milan
Pompeu Fabra University,,sh,Pompeu Fabra University
Queen's University,,sh,Queen's University
Queensland University of Technology,,sh,Queensland University of Technology
RWTH Aachen University,,sh,RWTH Aachen University
Soochow University (China),,sh,Soochow University (China)
South China University of Technology,,sh,South China University of Technology
Southeast University,,sh,Southeast University
Stony Brook University,,sh,Stony Brook University
Sungkyunkwan University,,sh,Sungkyunkwan University
Swedish University of Agricultural Sciences,,sh,Swedish University of Agricultural Sciences
The Hong Kong Polytechnic University,,sh,The Hong Kong Polytechnic University
The Hong Kong University of Science and Technology,,sh,The Hong Kong University of Science and Technology
The University of Auckland,,sh,The University of Auckland
The University of Dundee,,sh,The University of Dundee
The University of Georgia,,sh,The University of Georgia
The University of Reading,,sh,The University of Reading
The University of Texas at Dallas,,sh,The University of Texas at Dallas
The University of Texas Health Science Center at San Antonio,,sh,The University of Texas Health Science Center at San Antonio
"University at Buffalo, the State University of New York",,sh,"University at Buffalo, the State University of New York"
University of Aberdeen,,sh,University of Aberdeen
University of Alabama at Birmingham,,sh,University of Alabama at Birmingham
University of Antwerp,,sh,University of Antwerp
University of Barcelona,,sh,University of Barcelona
University of Belgrade,,sh,University of Belgrade
University of Bergen,,sh,University of Bergen
University of Bochum,,sh,University of Bochum
University of Bologna,,sh,University of Bologna
University of Buenos Aires,,sh,University of Buenos Aires
University of Electronic Science and Technology of China,,sh,University of Electronic Science and Technology of China
University of Granada,,sh,University of Granada
University of Hawaii at Manoa,,sh,University of Hawaii at Manoa
University of Houston,,sh,University of Houston
University of Illinois at Chicago,,sh,University of Illinois at Chicago
University of Jena,,sh,University of Jena
University of Kansas,,sh,University of Kansas
University of Cologne,,sh,University of Cologne
University of Lorraine,,sh,University of Lorraine
University of Mainz,,sh,University of Mainz
"University of Maryland, Baltimore",,sh,"University of Maryland, Baltimore"
University of Milan,,sh,University of Milan
University of Missouri - Columbia,,sh,University of Missouri - Columbia
University of Montpellier,,sh,University of Montpellier
University of Notre Dame,,sh,University of Notre Dame
University of Oregon,,sh,University of Oregon
University of Pisa,,sh,University of Pisa
University of South Florida,,sh,University of South Florida
University of Sussex,,sh,University of Sussex
University of Tasmania,,sh,University of Tasmania
University of Tennessee - Knoxville,,sh,University of Tennessee - Knoxville
University of the Witwatersrand,,sh,University of the Witwatersrand
University of Tsukuba,,sh,University of Tsukuba
University of Turin,,sh,University of Turin
University of Ulm,,sh,University of Ulm
University of Waterloo,,sh,University of Waterloo
University of Wollongong,,sh,University of Wollongong
University of York,,sh,University of York
Virginia Commonwealth University,,sh,Virginia Commonwealth University
Vrije Universiteit Brussel (VUB),,sh,Vrije Universiteit Brussel (VUB)
Western University,,sh,Western University
Wuhan University,,sh,Wuhan University
Xian Jiao Tong University,,sh,Xian Jiao Tong University
Yeshiva University,,sh,Yeshiva University
Yonsei University,,sh,Yonsei University
Autonomous University of Barcelona,,sh,Autonomous University of Barcelona
Autonomous University of Madrid,,sh,Autonomous University of Madrid
Beihang University,,sh,Beihang University
Boston College,,sh,Boston College
Brandeis University,,sh,Brandeis University
Brigham Young University,,sh,Brigham Young University
Capital Medical University,,sh,Capital Medical University
Central South University,,sh,Central South University
Chang Gung University,,sh,Chang Gung University
Chiba University,,sh,Chiba University
China University of Geosciences (Wuhan),,sh,China University of Geosciences (Wuhan)
Complutense University of Madrid,,sh,Complutense University of Madrid
Dalhousie University,,sh,Dalhousie University
Dalian University of Technology,,sh,Dalian University of Technology
East China University of Science and Technology,,sh,East China University of Science and Technology
Eindhoven University of Technology,,sh,Eindhoven University of Technology
ESPCI ParisTech,,sh,ESPCI ParisTech
Federal University of Rio de Janeiro,,sh,Federal University of Rio de Janeiro
Griffith University,,sh,Griffith University
Hannover Medical School,,sh,Hannover Medical School
Hiroshima University,,sh,Hiroshima University
Hunan University,,sh,Hunan University
Indian Institute of Science,,sh,Indian Institute of Science
Indiana University-Purdue University at Indianapolis,,sh,Indiana University-Purdue University at Indianapolis
James Cook University,,sh,James Cook University
Jilin University,,sh,Jilin University
Keio University,,sh,Keio University
La Trobe University,,sh,La Trobe University
Lancaster University,,sh,Lancaster University
Lanzhou University,,sh,Lanzhou University
Laval University,,sh,Laval University
Louisiana State University - Baton Rouge,,sh,Louisiana State University - Baton Rouge
Nankai University,,sh,Nankai University
National and Kapodistrian University of Athens,,sh,National and Kapodistrian University of Athens
National Cheng Kung University,,sh,National Cheng Kung University
National Chiao Tung University,,sh,National Chiao Tung University
National Tsing Hua University,,sh,National Tsing Hua University
"National University of Ireland, Galway",,sh,"National University of Ireland, Galway"
Ocean University of China,,sh,Ocean University of China
Okayama University,,sh,Okayama University
Paris Dauphine University (Paris 9),,sh,Paris Dauphine University (Paris 9)
Pohang University of Science and Technology,,sh,Pohang University of Science and Technology
Queen's University Belfast,,sh,Queen's University Belfast
Saint Louis University,,sh,Saint Louis University
Saint Petersburg State University,,sh,Saint Petersburg State University
Shandong University,,sh,Shandong University
Swinburne University of Technology,,sh,Swinburne University of Technology
Temple University,,sh,Temple University
The George Washington University,,sh,The George Washington University
The University of New Mexico - Albuquerque,,sh,The University of New Mexico - Albuquerque
"The University of Newcastle, Australia",,sh,"The University of Newcastle, Australia"
The University of Texas Health Science Center at Houston,,sh,The University of Texas Health Science Center at Houston
Tianjin University,,sh,Tianjin University
Tongji University,,sh,Tongji University
Umea University,,sh,Umea University
UNESP,,sh,UNESP
University College Dublin,,sh,University College Dublin
University of Cape Town,,sh,University of Cape Town
University of Central Florida,,sh,University of Central Florida
University of Chile,,sh,University of Chile
University of Cincinnati,,sh,University of Cincinnati
University of Colorado at Denver,,sh,University of Colorado at Denver
University of Connecticut,,sh,University of Connecticut
University of Duesseldorf,,sh,University of Duesseldorf
University of East Anglia,,sh,University of East Anglia
University of Eastern Finland,,sh,University of Eastern Finland
University of Florence,,sh,University of Florence
University of Guelph,,sh,University of Guelph
University of Halle-Wittenberg,,sh,University of Halle-Wittenberg
University of Kentucky,,sh,University of Kentucky
University of Leicester,,sh,University of Leicester
University of Liege,,sh,University of Liege
University of Manitoba,,sh,University of Manitoba
University of Milan - Bicocca,,sh,University of Milan - Bicocca
University of Naples Federico II,,sh,University of Naples Federico II
University of North Texas,,sh,University of North Texas
University of Otago,,sh,University of Otago
University of Pavia,,sh,University of Pavia
University of Porto,,sh,University of Porto
University of Roma - Tor Vergata,,sh,University of Roma - Tor Vergata
University of Santiago Compostela,,sh,University of Santiago Compostela
University of Saskatchewan,,sh,University of Saskatchewan
University of South Carolina - Columbia,,sh,University of South Carolina - Columbia
University of Southern Denmark,,sh,University of Southern Denmark
University of St Andrews,,sh,University of St Andrews
University of Stuttgart,,sh,University of Stuttgart
University of Surrey,,sh,University of Surrey
University of Tartu,,sh,University of Tartu
University of Technology Sydney,,sh,University of Technology Sydney
University of Tehran,,sh,University of Tehran
University of Toulouse 1,,sh,University of Toulouse 1
University of Twente,,sh,University of Twente
University of Vermont,,sh,University of Vermont
University of Victoria,,sh,University of Victoria
University of Warsaw,,sh,University of Warsaw
University of Western Sydney,,sh,University of Western Sydney
Victoria University of Wellington,,sh,Victoria University of Wellington
Virginia Polytechnic Institute and State University,,sh,Virginia Polytechnic Institute and State University
Wayne State University,,sh,Wayne State University
Xiamen University,,sh,Xiamen University
Aalto University,,sh,Aalto University
Amirkabir University of Technology,,sh,Amirkabir University of Technology
Aristotle University of Thessaloniki,,sh,Aristotle University of Thessaloniki
Bangor University,,sh,Bangor University
Bar-Ilan University,,sh,Bar-Ilan University
Ben-Gurion University of the Negev,,sh,Ben-Gurion University of the Negev
Bielefeld University,,sh,Bielefeld University
Brunel University,,sh,Brunel University
Cairo University,,sh,Cairo University
Catholic University of Chile,,sh,Catholic University of Chile
China Agricultural University,,sh,China Agricultural University
Chulalongkorn University,,sh,Chulalongkorn University
City University of New York City College,,sh,City University of New York City College
Concordia University,,sh,Concordia University
East China Normal University,,sh,East China Normal University
Ecole Polytechnique,,sh,Ecole Polytechnique
Ewha Womans University,,sh,Ewha Womans University
Federal University of Minas Gerais,,sh,Federal University of Minas Gerais
Federal University of Rio Grande do Sul,,sh,Federal University of Rio Grande do Sul
Flinders University,,sh,Flinders University
Florida International University,,sh,Florida International University
Gyeongsang National University,,sh,Gyeongsang National University
Harbin Engineering University,,sh,Harbin Engineering University
Heriot-Watt University,,sh,Heriot-Watt University
Huazhong Agricultural University,,sh,Huazhong Agricultural University
Istanbul University,,sh,Istanbul University
Jagiellonian University,,sh,Jagiellonian University
Kaohsiung Medical University,,sh,Kaohsiung Medical University
Kent State University,,sh,Kent State University
King Fahd University of Petroleum & Minerals,,sh,King Fahd University of Petroleum & Minerals
Kobe University,,sh,Kobe University
Kyung Hee University,,sh,Kyung Hee University
Kyungpook National University,,sh,Kyungpook National University
MINES ParisTech,,sh,MINES ParisTech
Nanjing Agricultural University,,sh,Nanjing Agricultural University
Nanjing Medical University,,sh,Nanjing Medical University
Nanjing University of Aeronautics and Astronautics,,sh,Nanjing University of Aeronautics and Astronautics
Nanjing University of Science and Technology,,sh,Nanjing University of Science and Technology
National Technical University of Athens,,sh,National Technical University of Athens
New Mexico State University,,sh,New Mexico State University
Northeastern University (Shenyang),,sh,Northeastern University (Shenyang)
Northwest University,,sh,Northwest University
Novosibirsk State University,,sh,Novosibirsk State University
Oklahoma State University,,sh,Oklahoma State University
Osaka City University,,sh,Osaka City University
Peking Union Medical College,,sh,Peking Union Medical College
Polytechnic University of Valencia,,sh,Polytechnic University of Valencia
RMIT University,,sh,RMIT University
Rush University,,sh,Rush University
Simon Fraser University,,sh,Simon Fraser University
St George's Hospital Medical School,,sh,St George's Hospital Medical School
Stellenbosch University,,sh,Stellenbosch University
Stockholm School of Economics,,sh,Stockholm School of Economics
Technical University Darmstadt,,sh,Technical University Darmstadt
Technical University of Berlin,,sh,Technical University of Berlin
The University of Texas at Arlington,,sh,The University of Texas at Arlington
The University of Texas Medical Branch at Galveston,,sh,The University of Texas Medical Branch at Galveston
The University of Tokushima,,sh,The University of Tokushima
Thomas Jefferson University,,sh,Thomas Jefferson University
Tokyo University of Science,,sh,Tokyo University of Science
Ulsan National Institute of Science and Technology,,sh,Ulsan National Institute of Science and Technology
Universitat Jaume I,,sh,Universitat Jaume I
University at Albany (State University of New York),,sh,University at Albany (State University of New York)
University of Aveiro,,sh,University of Aveiro
University of Bayreuth,,sh,University of Bayreuth
University of Bremen,,sh,University of Bremen
University of Campinas,,sh,University of Campinas
University of Canterbury,,sh,University of Canterbury
University of Coimbra,,sh,University of Coimbra
University of Ferrara,,sh,University of Ferrara
University of Fribourg,,sh,University of Fribourg
University of Hannover,,sh,University of Hannover
University of Iceland,,sh,University of Iceland
University of Johannesburg,,sh,University of Johannesburg
University of Konstanz,,sh,University of Konstanz
University of KwaZulu-Natal,,sh,University of KwaZulu-Natal
University of Ljubljana,,sh,University of Ljubljana
University of Malaya,,sh,University of Malaya
University of Marburg,,sh,University of Marburg
University of Minho,,sh,University of Minho
University of Montana - Missoula,,sh,University of Montana - Missoula
University of New Hampshire - Durham,,sh,University of New Hampshire - Durham
University of Nice Sophia Antipolis,,sh,University of Nice Sophia Antipolis
University of Oklahoma - Norman,,sh,University of Oklahoma - Norman
University of Oulu,,sh,University of Oulu
University of Palermo,,sh,University of Palermo
University of Potsdam,,sh,University of Potsdam
University of Regensburg,,sh,University of Regensburg
University of Rostock,,sh,University of Rostock
"University of Science, Malaysia",,sh,"University of Science, Malaysia"
University of the Basque Country,,sh,University of the Basque Country
University of Trieste,,sh,University of Trieste
University of Turku,,sh,University of Turku
University of Valencia,,sh,University of Valencia
University of Wyoming,,sh,University of Wyoming
Vienna University of Technology,,sh,Vienna University of Technology
Vita-Salute San Raffaele University,,sh,Vita-Salute San Raffaele University
Washington State University,,sh,Washington State University
West Virginia University,,sh,West Virginia University
Wuhan University of Technology,,sh,Wuhan University of Technology
