name,country,qs_rank,ti_rank,sh_rank,rank,iso2,region,continent,invRank,intRank,rankGroup,keylocation
Nanyang Technological University,Singapore,11,52,125.5,62.833333333333336,SG,South East Asia,Asia,0.015915119363395226,63, 50-100,loc_57
University of Sydney,Australia,50,61,83,64.66666666666667,AU,Australia and New Zealand,Oceania,0.015463917525773195,65, 50-100,loc_58
KU Leuven,Belgium,71,47,90,69.33333333333333,BE,Western Europe,Europe,0.014423076923076924,69, 50-100,loc_59
University of Copenhagen,Denmark,73,109,30,70.66666666666667,DK,Northern Europe,Europe,0.014150943396226414,71, 50-100,loc_60
Mayo Medical School,USA,,,71,71,US,North America,Americas,0.014084507042253521,71, 50-100,loc_61
Paris Sciences et Lettres,France,,72,,72,FR,Western Europe,Europe,0.013888888888888888,72, 50-100,loc_62
Monash University,Australia,60,80,78,72.66666666666667,AU,Australia and New Zealand,Oceania,0.013761467889908256,73, 50-100,loc_63
Utrecht University,Netherlands,109,68,47,74.66666666666667,NL,Western Europe,Europe,0.013392857142857142,75, 50-100,loc_64
Brown University,USA,53,50,125.5,76.16666666666667,US,North America,Americas,0.01312910284463895,76, 50-100,loc_65
The Chinese University of Hong Kong,Hong Kong,46,58,125.5,76.5,HK,East Asia,Asia,0.013071895424836602,76, 50-100,loc_66
Boston University,USA,81,70,80,77,US,North America,Americas,0.012987012987012988,77, 50-100,loc_67
"University of California, Santa Barbara",USA,134,53,45,77.33333333333333,US,North America,Americas,0.012931034482758622,77, 50-100,loc_68
London School of Economics,UK,35,25,175.5,78.5,GB,Northern Europe,Europe,0.012738853503184714,78, 50-100,loc_69
Seoul National University,Republic of Korea,36,74,125.5,78.5,KR,East Asia,Asia,0.012738853503184714,78, 50-100,loc_70
Ohio State University,USA,86,70,80,78.66666666666667,US,North America,Americas,0.01271186440677966,79, 50-100,loc_71
Purdue University,USA,105,60,77,80.66666666666667,US,North America,Americas,0.012396694214876032,81, 50-100,loc_72
University of Amsterdam,Netherlands,58,59,125.5,80.83333333333333,NL,Western Europe,Europe,0.012371134020618558,81, 50-100,loc_73
University of Helsinki,Finland,102,90,56,82.66666666666667,FI,Northern Europe,Europe,0.012096774193548387,83, 50-100,loc_74
Rice University,USA,89,86,74,83,US,North America,Americas,0.012048192771084338,83, 50-100,loc_75
"University of Maryland, College Park",USA,129,69,53,83.66666666666667,US,North America,Americas,0.01195219123505976,84, 50-100,loc_76
University of Southern California,USA,132,66,54,84,US,North America,Americas,0.011904761904761904,84, 50-100,loc_77
University of Minnesota,USA,163,56,34,84.33333333333333,US,North America,Americas,0.011857707509881424,84, 50-100,loc_78
Pennsylvania State University,USA,93,77,85,85,US,North America,Americas,0.011764705882352941,85, 50-100,loc_79
University of Groningen,Netherlands,113,83,59,85,NL,Western Europe,Europe,0.011764705882352941,85, 50-100,loc_80
The University of New South Wales,Australia,45,85,125.5,85.16666666666667,AU,Australia and New Zealand,Oceania,0.011741682974559686,85, 50-100,loc_81
"University of California, Davis",USA,118,54,85,85.66666666666667,US,North America,Americas,0.011673151750972763,86, 50-100,loc_82
Uppsala University,Sweden,112,86,63,87,SE,Northern Europe,Europe,0.011494252873563218,87, 50-100,loc_83
Leiden University,Netherlands,109,67,88,88,NL,Western Europe,Europe,0.011363636363636364,88, 50-100,loc_84
University of Zurich,Switzerland,73,136,58,89,CH,Western Europe,Europe,0.011235955056179775,89, 50-100,loc_85
University of Glasgow,UK,65,80,125.5,90.16666666666667,GB,Northern Europe,Europe,0.011090573012939002,90, 50-100,loc_86
Humboldt University of Berlin,Germany,120,62,,91,DE,Western Europe,Europe,0.01098901098901099,91, 50-100,loc_87
University of Warwick,UK,57,91,125.5,91.16666666666667,GB,Northern Europe,Europe,0.010968921389396709,91, 50-100,loc_88
Fudan University,China,40,116,125.5,93.83333333333333,CN,East Asia,Asia,0.010657193605683837,94, 50-100,loc_89
Osaka University,Japan,63,,125.5,94.25,JP,East Asia,Asia,0.010610079575596816,94, 50-100,loc_90
McMaster University,Canada,140,78,66,94.66666666666667,CA,North America,Americas,0.01056338028169014,95, 50-100,loc_91
University of Geneva,Switzerland,98,130,60,96,CH,Western Europe,Europe,0.010416666666666666,96, 50-100,loc_92
