name,rank,Fees,qs_rank,ti_rank,sh_rank,region,invRank,EN,DE,FR,IT,ES,PT,RU,ZH,JA,AR
The Rockefeller University,36,0,-,-,36,Northern America,0.027777777777777776,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
New York University,36,50464,52,27,29,Northern America,0.027777777777777776,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
University of Melbourne,37,29456,41,32,39,Australia and New Zealand,0.026785714285714284,Australia,Australien,Australie,Australia,Australia,Austrália,Австралия,澳大利亚,オーストラリア,أستراليا
University of British Columbia,39,19467,51,34,31,Northern America,0.025862068965517244,Canada,Kanada,Canada,Canada,Canadá,Canadá,Канада,加拿大,カナダ,كندا
Karolinska Institutet,41,22957,-,38,44,Northern Europe,0.024390243902439025,Sweden,Schweden,Suède,Svezia,Suecia,Suécia,Швеция,瑞典,スウェーデン,السويد
Ã‰cole polytechnique fÃ©dÃ©rale de Lausanne,42,1350,12,38,76,Western Europe,0.023809523809523808,Switzerland,Schweiz,Suisse,Svizzera,Suiza,Suíça,Швейцария,瑞士,スイス,سويسرا
University of Manchester,42,30293,34,54,38,Northern Europe,0.023809523809523808,United Kingdom,Vereinigtes Königreich,Royaume-Uni,Regno Unito,Reino Unido,Reino Unido,Британия,英国,英国,المملكة المتحدة
University of Wisconsinâ€“Madison,42,34783,55,43,28,Northern America,0.023809523809523808,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
National University of Singapore,43,28321,15,22,91,South-Eastern Asia,0.0234375,Singapore,Singapur,Singapour,Singapore,Singapur,Cingapura,Сингапур,新加坡,シンガポール,سنغافورة
Peking University,45,3665,38,27,71,Eastern Asia,0.022058823529411763,China,China,Chine,Cina,China,China,Китай,中国,中国,الصين
McGill University,47,39625,32,42,67,Northern America,0.02127659574468085,Canada,Kanada,Canada,Canada,Canadá,Canadá,Канада,加拿大,カナダ,كندا
University of Illinois at Urbanaâ€“Champaign,48,31988,69,37,37,Northern America,0.02097902097902098,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
The University of Texas Southwestern Medical Center at Dallas,48,33409,-,-,48,Northern America,0.020833333333333332,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
Kyoto University,48,4901,36,74,35,Eastern Asia,0.020689655172413793,Japan,Japan,Japon,Giappone,Japón,Japão,Япония,日本,日本,اليابان
Carnegie Mellon University,50,53910,47,24,80,Northern America,0.01986754966887417,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
Technical University of Munich,52,157,64,41,50,Western Europe,0.01935483870967742,Germany,Deutschland,Allemagne,Germania,Alemania,Alemanha,Германия,德国,ドイツ,ألمانيا
Heidelberg University,52,183,68,45,42,Western Europe,0.01935483870967742,Germany,Deutschland,Allemagne,Germania,Alemania,Alemanha,Германия,德国,ドイツ,ألمانيا
Ludwig Maximilian University of Munich,52,125,66,34,57,Western Europe,0.01910828025477707,Germany,Deutschland,Allemagne,Germania,Alemania,Alemanha,Германия,德国,ドイツ,ألمانيا
Australian National University,55,28033,20,48,97,Australia and New Zealand,0.01818181818181818,Australia,Australien,Australie,Australia,Australia,Austrália,Австралия,澳大利亚,オーストラリア,أستراليا
