key,type
400,Teaching only
401,Teaching only
402,Teaching only
403,Teaching only
404,Teaching only
405,Teaching only
406,Teaching only
407,Teaching only
408,Teaching only
409,Teaching only
410,Teaching only
411,Teaching only
412,Teaching only
413,Teaching only
414,Teaching only
415,Teaching only
416,Teaching only
417,Teaching only
418,Teaching only
419,Teaching only
420,Teaching only
421,Teaching only
422,Teaching only
423,Teaching only
424,Teaching only
425,Teaching only
426,Teaching only
427,Teaching only
428,Teaching only
429,Teaching only
430,Teaching only
431,Teaching only
432,Teaching only
433,Teaching only
434,Teaching only
435,Teaching only
436,Teaching only
437,Teaching only
438,Teaching only
439,Teaching only
440,Teaching only
441,Teaching only
442,Teaching only
443,Teaching only
444,Teaching only
445,Teaching only
446,Teaching only
447,Teaching only
448,Teaching only
449,Teaching only
450,Teaching only
451,Teaching only
452,Teaching only
453,Teaching only
454,Teaching only
455,Teaching only
456,Teaching only
457,Teaching only
458,Teaching only
459,Teaching only
460,Teaching only
461,Teaching only
462,Teaching only
463,Teaching only
464,Teaching only
465,Teaching only
466,Teaching only
467,Teaching only
468,Teaching only
469,Teaching only
470,Teaching only
471,Teaching only
472,Teaching only
473,Teaching only
474,Teaching only
475,Teaching only
476,Teaching only
477,Teaching only
478,Teaching only
479,Teaching only
480,Teaching only
481,Teaching only
482,Teaching only
483,Teaching only
484,Teaching only
485,Teaching only
486,Teaching only
487,Teaching only
488,Teaching only
489,Teaching only
490,Teaching only
491,Teaching only
492,Teaching only
493,Teaching only
494,Teaching only
495,Teaching only
496,Teaching only
497,Teaching only
498,Teaching only
499,Teaching only
500,Teaching only
501,Teaching only
502,Teaching only
503,Teaching only
504,Teaching only
505,Teaching only
506,Teaching only
507,Teaching only
508,Teaching only
509,Teaching only
510,Teaching only
511,Teaching only
512,Teaching only
513,Teaching only
514,Teaching only
515,Teaching only
516,Teaching only
517,Teaching only
518,Teaching only
519,Teaching only
520,Teaching only
521,Teaching only
522,Teaching only
523,Teaching only
524,Teaching only
525,Teaching only
526,Teaching only
527,Teaching only
528,Teaching only
529,Teaching only
530,Teaching only
531,Teaching only
532,Teaching only
533,Teaching only
534,Teaching only
535,Teaching only
536,Teaching only
537,Teaching only
538,Teaching only
539,Teaching only
540,Teaching only
541,Teaching only
542,Teaching only
543,Teaching only
544,Teaching only
545,Teaching only
546,Teaching only
547,Teaching only
548,Teaching only
549,Teaching only
550,Teaching only
551,Teaching only
552,Teaching only
553,Teaching only
554,Teaching only
555,Teaching only
556,Teaching only
557,Teaching only
558,Teaching only
559,Teaching only
560,Teaching only
561,Teaching only
562,Teaching only
563,Teaching only
564,Teaching only
565,Teaching only
566,Teaching only
567,Teaching only
568,Teaching only
569,Teaching only
570,Teaching only
571,Teaching only
572,Teaching only
573,Teaching only
574,Teaching only
575,Teaching only
576,Teaching only
577,Teaching only
578,Teaching only
579,Teaching only
580,Teaching only
581,Teaching only
582,Teaching only
583,Teaching only
584,Teaching only
585,Teaching only
586,Teaching only
587,Teaching only
588,Teaching only
589,Teaching only
590,Teaching only
591,Teaching only
592,Teaching only
593,Teaching only
594,Teaching only
595,Teaching only
596,Teaching only
597,Teaching only
598,Teaching only
599,Teaching only
600,Teaching only
601,Teaching only
602,Teaching only
603,Teaching only
604,Teaching only
605,Teaching only
606,Teaching only
607,Teaching only
608,Teaching only
609,Teaching only
610,Teaching only
611,Teaching only
612,Teaching only
613,Teaching only
614,Teaching only
615,Teaching only
616,Teaching only
617,Teaching only
618,Teaching only
619,Teaching only
620,Teaching only
621,Teaching only
622,Teaching only
623,Teaching only
624,Teaching only
625,Teaching only
626,Teaching only
627,Teaching only
628,Teaching only
629,Teaching only
630,Teaching only
631,Teaching only
632,Teaching only
633,Teaching only
634,Teaching only
635,Teaching only
636,Teaching only
637,Teaching only
638,Teaching only
639,Teaching only
640,Teaching only
641,Teaching only
642,Teaching only
643,Teaching only
644,Teaching only
645,Teaching only
646,Teaching only
647,Teaching only
648,Teaching only
649,Teaching only
650,Teaching only
651,Teaching only
652,Teaching only
653,Teaching only
654,Teaching only
655,Teaching only
656,Teaching only
657,Teaching only
658,Teaching only
659,Teaching only
660,Teaching only
661,Teaching only
662,Teaching only
663,Teaching only
664,Teaching only
665,Teaching only
666,Teaching only
667,Teaching only
668,Teaching only
669,Teaching only
670,Teaching only
671,Teaching only
672,Teaching only
673,Teaching only
674,Teaching only
675,Teaching only
676,Teaching only
677,Teaching only
678,Teaching only
679,Teaching only
680,Teaching only
681,Teaching only
682,Teaching only
683,Teaching only
684,Teaching only
685,Teaching only
686,Teaching only
687,Teaching only
688,Teaching only
689,Teaching only
690,Teaching only
691,Teaching only
692,Teaching only
693,Teaching only
694,Teaching only
695,Teaching only
696,Teaching only
697,Teaching only
698,Teaching only
699,Teaching only
700,Teaching only
701,Teaching only
702,Teaching only
703,Teaching only
704,Teaching only
705,Teaching only
706,Teaching only
707,Teaching only
708,Teaching only
709,Teaching only
710,Teaching only
711,Teaching only
712,Teaching only
713,Teaching only
714,Teaching only
715,Teaching only
716,Teaching only
717,Teaching only
718,Teaching only
719,Teaching only
720,Teaching only
721,Teaching only
722,Teaching only
723,Teaching only
724,Teaching only
725,Teaching only
726,Teaching only
727,Teaching only
728,Teaching only
729,Teaching only
730,Teaching only
731,Teaching only
732,Teaching only
733,Teaching only
734,Teaching only
735,Teaching only
736,Teaching only
737,Teaching only
738,Teaching only
739,Teaching only
740,Teaching only
741,Teaching only
742,Teaching only
743,Teaching only
744,Teaching only
745,Teaching only
746,Teaching only
747,Teaching only
748,Teaching only
749,Teaching only
750,Teaching only
751,Teaching only
752,Teaching only
753,Teaching only
754,Teaching only
755,Teaching only
756,Teaching only
757,Teaching only
758,Teaching only
759,Teaching only
760,Teaching only
761,Teaching only
762,Teaching only
763,Teaching only
764,Teaching only
765,Teaching only
766,Teaching only
767,Teaching only
768,Teaching only
769,Teaching only
770,Teaching only
771,Teaching only
772,Teaching only
773,Teaching only
774,Teaching only
775,Teaching only
776,Teaching only
777,Teaching only
778,Teaching only
779,Teaching only
780,Teaching only
781,Teaching only
782,Teaching only
783,Teaching only
784,Teaching only
785,Teaching only
786,Teaching only
787,Teaching only
788,Teaching only
789,Teaching only
790,Teaching only
791,Teaching only
792,Teaching only
793,Teaching only
794,Teaching only
795,Teaching only
796,Teaching only
797,Teaching only
798,Teaching only
799,Teaching only
800,Teaching only
801,Teaching only
802,Teaching only
803,Teaching only
804,Teaching only
805,Teaching only
806,Teaching only
807,Teaching only
808,Teaching only
809,Teaching only
810,Teaching only
811,Teaching only
812,Teaching only
813,Teaching only
814,Teaching only
815,Teaching only
816,Teaching only
817,Teaching only
818,Teaching only
819,Teaching only
820,Teaching only
821,Teaching only
822,Teaching only
823,Teaching only
824,Teaching only
825,Teaching only
826,Teaching only
827,Teaching only
828,Teaching only
829,Teaching only
830,Teaching only
831,Teaching only
832,Teaching only
833,Teaching only
834,Teaching only
835,Teaching only
836,Teaching only
837,Teaching only
838,Teaching only
839,Teaching only
840,Teaching only
841,Teaching only
842,Teaching only
843,Teaching only
844,Teaching only
845,Teaching only
846,Teaching only
847,Teaching only
848,Teaching only
849,Teaching only
850,Teaching only
851,Teaching only
852,Teaching only
853,Teaching only
854,Teaching only
855,Teaching only
856,Teaching only
857,Teaching only
858,Teaching only
859,Teaching only
860,Teaching only
861,Teaching only
862,Teaching only
863,Teaching only
864,Teaching only
865,Teaching only
866,Teaching only
867,Teaching only
868,Teaching only
869,Teaching only
870,Teaching only
871,Teaching only
872,Teaching only
873,Teaching only
874,Teaching only
875,Teaching only
876,Teaching only
877,Teaching only
878,Teaching only
879,Teaching only
880,Teaching only
881,Teaching only
882,Teaching only
883,Teaching only
884,Teaching only
885,Teaching only
886,Teaching only
887,Teaching only
888,Teaching only
889,Teaching only
890,Teaching only
891,Teaching only
892,Teaching only
893,Teaching only
894,Teaching only
895,Teaching only
896,Teaching only
897,Teaching only
898,Teaching only
899,Teaching only
900,Teaching only
901,Teaching only
902,Teaching only
903,Teaching only
904,Teaching only
905,Teaching only
906,Teaching only
907,Teaching only
908,Teaching only
909,Teaching only
910,Teaching only
911,Teaching only
912,Teaching only
913,Teaching only
914,Teaching only
915,Teaching only
916,Teaching only
917,Teaching only
918,Teaching only
919,Teaching only
920,Teaching only
921,Teaching only
922,Teaching only
923,Teaching only
924,Teaching only
925,Teaching only
926,Teaching only
927,Teaching only
928,Teaching only
929,Teaching only
930,Teaching only
931,Teaching only
932,Teaching only
933,Teaching only
934,Teaching only
935,Teaching only
936,Teaching only
937,Teaching only
938,Teaching only
939,Teaching only
940,Teaching only
941,Teaching only
942,Teaching only
943,Teaching only
944,Teaching only
945,Teaching only
946,Teaching only
947,Teaching only
948,Teaching only
949,Teaching only
950,Teaching only
951,Teaching only
952,Teaching only
953,Teaching only
954,Teaching only
955,Teaching only
956,Teaching only
957,Teaching only
958,Teaching only
959,Teaching only
960,Teaching only
961,Teaching only
962,Teaching only
963,Teaching only
964,Teaching only
965,Teaching only
966,Teaching only
967,Teaching only
968,Teaching only
969,Teaching only
970,Teaching only
971,Teaching only
972,Teaching only
973,Teaching only
974,Teaching only
975,Teaching only
976,Teaching only
977,Teaching only
978,Teaching only
979,Teaching only
980,Teaching only
981,Teaching only
982,Teaching only
983,Teaching only
984,Teaching only
985,Teaching only
986,Teaching only
987,Teaching only
988,Teaching only
989,Teaching only
990,Teaching only
991,Teaching only
992,Teaching only
993,Teaching only
994,Teaching only
995,Teaching only
996,Teaching only
997,Teaching only
998,Teaching only
999,Teaching only
1000,Teaching only
1001,Teaching only
1002,Teaching only
1003,Teaching only
1004,Teaching only
1005,Teaching only
1006,Teaching only
1007,Teaching only
1008,Teaching only
1009,Teaching only
1010,Teaching only
1011,Teaching only
1012,Teaching only
1013,Teaching only
1014,Teaching only
1015,Teaching only
1016,Teaching only
1017,Teaching only
1018,Teaching only
1019,Teaching only
1020,Teaching only
1021,Teaching only
1022,Teaching only
1023,Teaching only
1024,Teaching only
1025,Teaching only
1026,Teaching only
1027,Teaching only
1028,Teaching only
1029,Teaching only
1030,Teaching only
1031,Teaching only
1032,Teaching only
1033,Teaching only
1034,Teaching only
1035,Teaching only
1036,Teaching only
1037,Teaching only
1038,Teaching only
1039,Teaching only
1040,Teaching only
1041,Teaching only
1042,Teaching only
1043,Teaching only
1044,Teaching only
1045,Teaching only
1046,Teaching only
1047,Teaching only
1048,Teaching only
1049,Teaching only
1050,Teaching only
1051,Teaching only
1052,Teaching only
1053,Teaching only
1054,Teaching only
1055,Teaching only
1056,Teaching only
1057,Teaching only
1058,Teaching only
1059,Teaching only
1060,Teaching only
1061,Teaching only
1062,Teaching only
1063,Teaching only
1064,Teaching only
1065,Teaching only
1066,Teaching only
1067,Teaching only
1068,Teaching only
1069,Teaching only
1070,Teaching only
1071,Teaching only
1072,Teaching only
1073,Teaching only
1074,Teaching only
1075,Teaching only
1076,Teaching only
1077,Teaching only
1078,Teaching only
1079,Teaching only
1080,Teaching only
1081,Teaching only
1082,Teaching only
1083,Teaching only
1084,Teaching only
1085,Teaching only
1086,Teaching only
1087,Teaching only
1088,Teaching only
1089,Teaching only
1090,Teaching only
1091,Teaching only
1092,Teaching only
1093,Teaching only
1094,Teaching only
1095,Teaching only
1096,Teaching only
1097,Teaching only
1098,Teaching only
1099,Teaching only
1100,Teaching only
1101,Teaching only
1102,Teaching only
1103,Teaching only
1104,Teaching only
1105,Teaching only
1106,Teaching only
1107,Teaching only
1108,Teaching only
1109,Teaching only
1110,Teaching only
1111,Teaching only
1112,Teaching only
1113,Teaching only
1114,Teaching only
1115,Teaching only
1116,Teaching only
1117,Teaching only
1118,Teaching only
1119,Teaching only
1120,Teaching only
1121,Teaching only
1122,Teaching only
1123,Teaching only
