lat,lon,name,qs_rank,ti_rank,sh_rank,rank,invRank,EN,DE,FR,IT,ES,PT,RU,ZH,JA,AR
29.7034179,-95.4030452,The University of Texas Health Science Center at Houston,-,-,350.5,350,0.0028530670470756064,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
28.6024274,-81.2000599,University of Central Florida,-,-,350.5,350,0.0028530670470756064,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
51.1888113,6.794503,University of Duesseldorf,-,-,350.5,350,0.0028530670470756064,Germany,Deutschland,Allemagne,Germania,Alemania,Alemanha,Германия,德国,ドイツ,ألمانيا
38.0306511,-84.5039697,University of Kentucky,-,-,350.5,350,0.0028530670470756064,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
33.207488,-97.1525862,University of North Texas,-,-,350.5,350,0.0028530670470756064,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
42.8885225,-8.5449726,University of Santiago de Compostela,-,-,350.5,350,0.0028530670470756064,Spain,Spanien,Espagne,Spagna,España,Espanha,Испания,西班牙,スペイン,إسبانيا
35.7022192,51.3957307,University of Tehran,-,-,350.5,350,0.0028530670470756064,Islamic Republic of Iran,Islamischen Republik Iran,République Islamique d'Iran,Iran,Irán,Irã,"Иран, Исламская Республика",伊朗,イラン,إيران
43.6067724,1.4371122,Toulouse 1 University Capitole,-,-,350.5,350,0.0028530670470756064,France,Frankreich,France,Francia,Francia,França,Франция,法国,フランス,فرنسا
38.8997145,-77.0485992,George Washington University,352,-,350.5,350,0.0028469750889679717,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
48.870029,2.273451,"Université Paris-Dauphine, PSL Research University",355,-,350.5,350,0.002834868887313962,France,Frankreich,France,Francia,Francia,França,Франция,法国,フランス,فرنسا
35.9544013,-83.9294564,University of Tennessee,455.5,-,250.5,350,0.0028328611898017,United States,Vereinigte Staaten,États-Unis,Stati Uniti d'America,Estados Unidos,Estados Unidos,Соединенные Штаты Америки,美国,米国,الولايات المتحدة
37.5961951,127.052544,Kyung Hee University,256,-,450.5,350,0.0028308563340410475,Republic of Korea,Republik Korea,République de Corée,Corea del Sud,República de Corea,República da Coreia,Республика Корея,韩国,大韓民国,كوريا
51.160307,71.4648566,L.N. Gumilyov Eurasian National University,336,-,-,340,0.002976190476190476,Kazakhstan,Kasachstan,Kazakhstan,Kazakistan,Kazajistán,Cazaquistão,Казахстан,哈萨克斯坦,カザフスタン,كازاخستان
